datetime,discharge,qualifiers
2023-09-30T04:15:00.000-04:00,1510.0,['A']
2023-09-30T04:30:00.000-04:00,1450.0,['A']
2023-09-30T04:45:00.000-04:00,1470.0,['A']
2023-09-30T05:00:00.000-04:00,1460.0,['A']
2023-09-30T05:15:00.000-04:00,1430.0,['A']
2023-09-30T05:30:00.000-04:00,1370.0,['A']
2023-09-30T05:45:00.000-04:00,1350.0,['A']
2023-09-30T06:00:00.000-04:00,1400.0,['A']
2023-09-30T06:15:00.000-04:00,1310.0,['A']
2023-09-30T06:30:00.000-04:00,1280.0,['A']
2023-09-30T06:45:00.000-04:00,1300.0,['A']
2023-09-30T07:00:00.000-04:00,1310.0,['A']
2023-09-30T07:15:00.000-04:00,1230.0,['A']
2023-09-30T07:30:00.000-04:00,1230.0,['A']
2023-09-30T07:45:00.000-04:00,1200.0,['A']
2023-09-30T08:00:00.000-04:00,1140.0,['A']
2023-09-30T08:15:00.000-04:00,1220.0,['A']
2023-09-30T08:30:00.000-04:00,1180.0,['A']
2023-09-30T08:45:00.000-04:00,1070.0,['A']
2023-09-30T09:00:00.000-04:00,1190.0,['A']
2023-09-30T09:15:00.000-04:00,1080.0,['A']
2023-09-30T09:30:00.000-04:00,1120.0,['A']
2023-09-30T09:45:00.000-04:00,1120.0,['A']
2023-09-30T10:00:00.000-04:00,1050.0,['A']
2023-09-30T10:15:00.000-04:00,1050.0,['A']
2023-09-30T10:30:00.000-04:00,1040.0,['A']
2023-09-30T10:45:00.000-04:00,1050.0,['A']
2023-09-30T11:00:00.000-04:00,984.0,['A']
2023-09-30T11:15:00.000-04:00,992.0,['A']
2023-09-30T11:30:00.000-04:00,999.0,['A']
2023-09-30T11:45:00.000-04:00,977.0,['A']
2023-09-30T12:00:00.000-04:00,935.0,['A']
2023-09-30T12:15:00.000-04:00,949.0,['A']
2023-09-30T12:30:00.000-04:00,942.0,['A']
2023-09-30T12:45:00.000-04:00,921.0,['A']
2023-09-30T13:00:00.000-04:00,914.0,['A']
2023-09-30T13:15:00.000-04:00,908.0,['A']
2023-09-30T13:30:00.000-04:00,894.0,['A']
2023-09-30T13:45:00.000-04:00,855.0,['A']
2023-09-30T14:00:00.000-04:00,868.0,['A']
2023-09-30T14:15:00.000-04:00,848.0,['A']
2023-09-30T14:30:00.000-04:00,797.0,['A']
2023-09-30T14:45:00.000-04:00,816.0,['A']
2023-09-30T15:00:00.000-04:00,816.0,['A']
2023-09-30T15:15:00.000-04:00,797.0,['A']
2023-09-30T15:30:00.000-04:00,767.0,['A']
2023-09-30T15:45:00.000-04:00,761.0,['A']
2023-09-30T16:00:00.000-04:00,779.0,['A']
2023-09-30T16:15:00.000-04:00,773.0,['A']
2023-09-30T16:30:00.000-04:00,743.0,['A']
2023-09-30T16:45:00.000-04:00,731.0,['A']
2023-09-30T17:00:00.000-04:00,720.0,['A']
2023-09-30T17:15:00.000-04:00,703.0,['A']
2023-09-30T17:30:00.000-04:00,708.0,['A']
2023-09-30T17:45:00.000-04:00,708.0,['A']
2023-09-30T18:00:00.000-04:00,691.0,['A']
2023-09-30T18:15:00.000-04:00,675.0,['A']
2023-09-30T18:30:00.000-04:00,664.0,['A']
2023-09-30T18:45:00.000-04:00,642.0,['A']
2023-09-30T19:00:00.000-04:00,653.0,['A']
2023-09-30T19:15:00.000-04:00,626.0,['A']
2023-09-30T19:30:00.000-04:00,647.0,['A']
2023-09-30T19:45:00.000-04:00,601.0,['A']
2023-09-30T20:00:00.000-04:00,637.0,['A']
2023-09-30T20:15:00.000-04:00,606.0,['A']
2023-09-30T20:30:00.000-04:00,606.0,['A']
2023-09-30T20:45:00.000-04:00,611.0,['A']
2023-09-30T21:00:00.000-04:00,585.0,['A']
2023-09-30T21:15:00.000-04:00,595.0,['A']
2023-09-30T21:30:00.000-04:00,580.0,['A']
2023-09-30T21:45:00.000-04:00,576.0,['A']
2023-09-30T22:00:00.000-04:00,542.0,['A']
2023-09-30T22:15:00.000-04:00,571.0,['A']
2023-09-30T22:30:00.000-04:00,542.0,['A']
2023-09-30T22:45:00.000-04:00,542.0,['A']
2023-09-30T23:00:00.000-04:00,537.0,['A']
2023-09-30T23:15:00.000-04:00,542.0,['A']
2023-09-30T23:30:00.000-04:00,528.0,['A']
2023-09-30T23:45:00.000-04:00,528.0,['A']
2023-10-01T00:00:00.000-04:00,523.0,['A']
2023-10-01T00:15:00.000-04:00,509.0,['A']
2023-10-01T00:30:00.000-04:00,518.0,['A']
2023-10-01T00:45:00.000-04:00,509.0,['A']
2023-10-01T01:00:00.000-04:00,514.0,['A']
2023-10-01T01:15:00.000-04:00,492.0,['A']
2023-10-01T01:30:00.000-04:00,487.0,['A']
2023-10-01T01:45:00.000-04:00,487.0,['A']
2023-10-01T02:00:00.000-04:00,487.0,['A']
2023-10-01T02:15:00.000-04:00,474.0,['A']
2023-10-01T02:30:00.000-04:00,479.0,['A']
2023-10-01T02:45:00.000-04:00,460.0,['A']
2023-10-01T03:00:00.000-04:00,474.0,['A']
2023-10-01T03:15:00.000-04:00,470.0,['A']
2023-10-01T03:30:00.000-04:00,447.0,['A']
2023-10-01T03:45:00.000-04:00,447.0,['A']
2023-10-01T04:00:00.000-04:00,460.0,['A']
2023-10-01T04:15:00.000-04:00,456.0,['A']
